Myindex,v[b],v[c],Time,Method,Tgt,Strain,K,BObj
314,0.82975,1.7524,3.128,O,90,iJR904,3,EX_fum_e
315,0.72431,0.75937,185.212,P,10,iJR904,3,EX_fum_e
316,0.18439,11.38441,65.898,P,20,iJR904,3,EX_fum_e
317,0.72431,0.75937,109.782,P,30,iJR904,3,EX_fum_e
318,0.72431,0.75937,101.149,P,40,iJR904,3,EX_fum_e
319,0.72431,0.75937,86.082,P,50,iJR904,3,EX_fum_e
320,0.72431,0.75937,83.903,P,60,iJR904,3,EX_fum_e
321,0.72232,0.75728,51.957,P,70,iJR904,3,EX_fum_e
322,0.84285,0.52958,36.526,P,80,iJR904,3,EX_fum_e
323,0.82975,1.66522,9.571,P,90,iJR904,3,EX_fum_e
324,0.3623585,14.45860639,0.954999924,M,10,iJR904,1,EX_ac_e
325,0.3623585,14.45860964,0.382999897,O,10,iJR904,1,EX_ac_e
326,0.3623585,7.877452633,0.379999876,P,10,iJR904,1,EX_ac_e
327,0.3623585,14.45860685,0.945999861,M,20,iJR904,1,EX_ac_e
328,0.3623585,14.45860347,0.450999975,O,20,iJR904,1,EX_ac_e
329,0.3623585,7.877452633,0.399999857,P,20,iJR904,1,EX_ac_e
330,0.3623585,14.4586064,1.136999846,M,30,iJR904,1,EX_ac_e
331,0.3623585,14.45860757,0.411000013,O,30,iJR904,1,EX_ac_e
332,0.3623585,7.877452633,0.378000021,P,30,iJR904,1,EX_ac_e
333,0.74527795,3.801644789,1.707000017,M,40,iJR904,1,EX_ac_e
334,0.745293294,3.800855343,0.376999855,O,40,iJR904,1,EX_ac_e
335,0.745293294,3.800653192,0.364000082,P,40,iJR904,1,EX_ac_e
336,0.745268314,3.802142495,0.995000124,M,50,iJR904,1,EX_ac_e
337,0.745293294,3.800855343,0.368999958,O,50,iJR904,1,EX_ac_e
338,0.745293294,3.800653192,0.347000122,P,50,iJR904,1,EX_ac_e
339,0.74528839,3.801107885,1.233999968,M,60,iJR904,1,EX_ac_e
340,0.745293294,3.800855845,0.377000093,O,60,iJR904,1,EX_ac_e
341,0.745293294,3.800653192,0.342999935,P,60,iJR904,1,EX_ac_e
342,0.745293294,3.800855853,1.35800004,M,70,iJR904,1,EX_ac_e
343,0.745293294,3.800853665,0.414999962,O,70,iJR904,1,EX_ac_e
344,0.745293294,3.800653192,0.381999969,P,70,iJR904,1,EX_ac_e
345,0.745293294,3.800855742,1.405999899,M,80,iJR904,1,EX_ac_e
346,0.745293294,3.800855422,0.363000154,O,80,iJR904,1,EX_ac_e
347,0.745293294,3.800653192,0.351000071,P,80,iJR904,1,EX_ac_e
348,0.844586499,1.642713571,1.039999962,M,90,iJR904,1,EX_ac_e
349,0.844586499,1.642468244,0.378000021,O,90,iJR904,1,EX_ac_e
350,0.844586499,1.642462483,0.394999981,P,90,iJR904,1,EX_ac_e
351,0.145756642,17.40034196,1.747999907,M,10,iJR904,2,EX_ac_e
352,0.145756642,17.4003399,1.64199996,O,10,iJR904,2,EX_ac_e
353,0.3623585,14.45837596,1.469000101,P,10,iJR904,2,EX_ac_e
354,0.254749291,16.05164354,2.430999994,M,20,iJR904,2,EX_ac_e
355,0.184389619,17.33138332,1.587000132,O,20,iJR904,2,EX_ac_e
356,0.3623585,14.36625445,1.385999918,P,20,iJR904,2,EX_ac_e
357,0.360318014,14.47317738,1.673000097,M,30,iJR904,2,EX_ac_e
358,0.276584428,15.99707309,1.471999884,O,30,iJR904,2,EX_ac_e
359,0.3623585,14.32019365,1.445000172,P,30,iJR904,2,EX_ac_e
360,0.620353813,6.488335732,1.976999998,M,40,iJR904,2,EX_ac_e
361,0.368779238,14.66276292,1.517999887,O,40,iJR904,2,EX_ac_e
362,0.620388585,6.458546794,1.407999992,P,40,iJR904,2,EX_ac_e
363,0.62037218,6.473792852,2.076999903,M,50,iJR904,2,EX_ac_e
364,0.460974031,13.32845343,1.630000114,O,50,iJR904,2,EX_ac_e
365,0.620388585,6.458546796,1.301000118,P,50,iJR904,2,EX_ac_e
366,0.62038376,6.464565563,2.419000149,M,60,iJR904,2,EX_ac_e
367,0.553168842,11.9941431,1.370999813,O,60,iJR904,2,EX_ac_e
368,0.620388585,6.460796943,1.330999851,P,60,iJR904,2,EX_ac_e
369,0.645363652,10.43541161,1.169000149,M,70,iJR904,2,EX_ac_e
370,0.713488065,4.429096779,1.554000139,O,70,iJR904,2,EX_ac_e
371,0.713488065,4.4264297,1.424999952,P,70,iJR904,2,EX_ac_e
372,0.737558463,6.955502308,1.670000076,M,80,iJR904,2,EX_ac_e
373,0.740059445,3.84952683,1.389000177,O,80,iJR904,2,EX_ac_e
374,0.740059445,3.846446259,1.221999884,P,80,iJR904,2,EX_ac_e
375,0.829753275,3.271424561,1.565999985,M,90,iJR904,2,EX_ac_e
376,0.83326009,1.888653863,1.152999878,O,90,iJR904,2,EX_ac_e
377,0.83326009,1.88864802,0.924000025,P,90,iJR904,2,EX_ac_e
378,0.143615634,22.68404689,4.044999838,M,10,iJR904,3,EX_ac_e
379,0.143615728,22.65999623,5.552999973,O,10,iJR904,3,EX_ac_e
380,0.142388122,17.74691014,5.052000046,P,10,iJR904,3,EX_ac_e
381,0.248815887,16.44599841,2.875,M,20,iJR904,3,EX_ac_e
382,0.184389619,17.33136743,6.399000168,O,20,iJR904,3,EX_ac_e
383,0.254749291,16.05136145,4.407000065,P,20,iJR904,3,EX_ac_e
384,0.276584428,15.99707276,3.710999966,M,30,iJR904,3,EX_ac_e
385,0.276584428,15.99707326,6.632999897,O,30,iJR904,3,EX_ac_e
386,0.3623585,14.45837596,4.965000153,P,30,iJR904,3,EX_ac_e
387,0.368779238,14.66276296,1.592999935,M,40,iJR904,3,EX_ac_e
388,0.368779238,14.66276309,6.264999866,O,40,iJR904,3,EX_ac_e
389,0.598579784,6.989709847,4.437999964,P,40,iJR904,3,EX_ac_e
390,0.598573953,6.990014265,4.407999992,M,50,iJR904,3,EX_ac_e
391,0.460974031,13.32845317,4.817000151,O,50,iJR904,3,EX_ac_e
392,0.600593529,6.945779676,4.593999863,P,50,iJR904,3,EX_ac_e
393,0.598579536,6.989720024,4.768999815,M,60,iJR904,3,EX_ac_e
394,0.598579784,6.989707513,7.21600008,O,60,iJR904,3,EX_ac_e
395,0.598579784,6.989711038,4.819000006,P,60,iJR904,3,EX_ac_e
396,0.645363652,10.43541161,0.90899992,M,70,iJR904,3,EX_ac_e
397,0.645363652,9.316609942,4.320999861,O,70,iJR904,3,EX_ac_e
398,0.684432355,5.123498123,4.881999969,P,70,iJR904,3,EX_ac_e
399,0.737558463,7.059099819,2.054000139,M,80,iJR904,3,EX_ac_e
400,0.739945424,3.917442555,4.957000017,O,80,iJR904,3,EX_ac_e
401,0.739945424,3.916892013,2.93200016,P,80,iJR904,3,EX_ac_e
402,0.829753275,3.042796221,2.400000095,M,90,iJR904,3,EX_ac_e
403,0.83326009,1.888653562,2.927999973,O,90,iJR904,3,EX_ac_e
404,0.83326009,1.888653683,2.045000076,P,90,iJR904,3,EX_ac_e
405,0.24008577,0.250391823,7.407000065,M,10,iJO1366,1,EX_succ_e
406,0.24008605,0.250385151,1.28399992,O,10,iJO1366,1,EX_succ_e
407,0.24008605,0.250371833,1.217999935,P,10,iJO1366,1,EX_succ_e
408,0.240085703,0.250413396,8.597000122,M,20,iJO1366,1,EX_succ_e
409,0.24008605,0.250371639,1.324999809,O,20,iJO1366,1,EX_succ_e
410,0.24008605,0.250371862,1.218999863,P,20,iJO1366,1,EX_succ_e
411,0.240085575,0.250405763,13.02600002,M,30,iJO1366,1,EX_succ_e
412,0.24008605,0.250371711,1.344000101,O,30,iJO1366,1,EX_succ_e
413,0.24008605,0.2503717,1.217000008,P,30,iJO1366,1,EX_succ_e
414,0.240081235,0.250951002,7.628000021,M,40,iJO1366,1,EX_succ_e
415,0.24008605,0.250385194,1.260999918,O,40,iJO1366,1,EX_succ_e
416,0.24008605,0.250371665,1.154000044,P,40,iJO1366,1,EX_succ_e
417,0.24008577,0.250391762,8.641000032,M,50,iJO1366,1,EX_succ_e
418,0.24008605,0.250371726,1.919999838,O,50,iJO1366,1,EX_succ_e
419,0.24008605,0.250371713,1.375999928,P,50,iJO1366,1,EX_succ_e
420,0.24008577,0.250391629,8.39199996,M,60,iJO1366,1,EX_succ_e
421,0.24008605,0.250371649,1.496000051,O,60,iJO1366,1,EX_succ_e
422,0.24008605,0.250371728,1.373999834,P,60,iJO1366,1,EX_succ_e
423,0.24008577,0.250391655,8.042999983,M,70,iJO1366,1,EX_succ_e
424,0.24008605,0.250371707,1.34100008,O,70,iJO1366,1,EX_succ_e
425,0.24008605,0.250371633,1.174999952,P,70,iJO1366,1,EX_succ_e
426,0.240081965,0.250862997,6.536000013,M,80,iJO1366,1,EX_succ_e
427,0.24008605,0.250371533,1.103000164,O,80,iJO1366,1,EX_succ_e
428,0.240086055,0.250371336,1.000999928,P,80,iJO1366,1,EX_succ_e
429,0.24008577,0.250391837,4.774999857,M,90,iJO1366,1,EX_succ_e
430,0.24008605,0.250371612,1.072000027,O,90,iJO1366,1,EX_succ_e
431,0.240086053,0.250371336,0.88499999,P,90,iJO1366,1,EX_succ_e
432,0.053096554,8.979650163,28.2650001,M,10,iJO1366,2,EX_succ_e
433,0.053096607,8.980297976,10.47299981,O,10,iJO1366,2,EX_succ_e
434,0.24008605,0.25037227,5.09100008,P,10,iJO1366,2,EX_succ_e
435,0.053096554,8.979650136,23.55900002,M,20,iJO1366,2,EX_succ_e
436,0.053096607,8.979632934,9.921000004,O,20,iJO1366,2,EX_succ_e
437,0.24008605,0.250371828,5.029999971,P,20,iJO1366,2,EX_succ_e
438,0.117293811,2.313167164,29.63899994,M,30,iJO1366,2,EX_succ_e
439,0.117294131,2.313503012,10.08299994,O,30,iJO1366,2,EX_succ_e
440,0.24008605,0.250371655,5.105999947,P,30,iJO1366,2,EX_succ_e
441,0.117293811,2.313167514,15.59399986,M,40,iJO1366,2,EX_succ_e
442,0.117294131,2.313502931,9.684000015,O,40,iJO1366,2,EX_succ_e
443,0.24008605,0.250371793,4.823999882,P,40,iJO1366,2,EX_succ_e
444,0.183109211,1.414832711,18.43200016,M,50,iJO1366,2,EX_succ_e
445,0.183109424,1.414795534,9.535000086,O,50,iJO1366,2,EX_succ_e
446,0.24008605,0.250371661,4.365999937,P,50,iJO1366,2,EX_succ_e
447,0.183109211,1.414833051,13.27999997,M,60,iJO1366,2,EX_succ_e
448,0.183109424,1.414828073,8.40199995,O,60,iJO1366,2,EX_succ_e
449,0.24008605,0.250371838,4.042999983,P,60,iJO1366,2,EX_succ_e
450,0.183109211,1.414835094,11.59000015,M,70,iJO1366,2,EX_succ_e
451,0.183109424,1.414794689,7.187000036,O,70,iJO1366,2,EX_succ_e
452,0.24008605,0.25037203,3.174000025,P,70,iJO1366,2,EX_succ_e
453,0.240082482,0.250409033,13.29200006,M,80,iJO1366,2,EX_succ_e
454,0.24008605,0.250371697,5.631999969,O,80,iJO1366,2,EX_succ_e
455,0.24008605,0.250371336,2.460999966,P,80,iJO1366,2,EX_succ_e
456,0.240083596,0.25054762,21.05900002,M,90,iJO1366,2,EX_succ_e
457,0.24008605,0.250371651,3.861999989,O,90,iJO1366,2,EX_succ_e
458,0.24008605,0.250371861,1.726000071,P,90,iJO1366,2,EX_succ_e
459,0.051281955,9.608955589,21.79500008,M,10,iJO1366,3,EX_succ_e
460,0.051282009,9.608799488,65.38400006,O,10,iJO1366,3,EX_succ_e
461,0.051282009,9.608799702,39.36599994,P,10,iJO1366,3,EX_succ_e
462,0.051281957,9.60880948,109.0439999,M,20,iJO1366,3,EX_succ_e
463,0.051282009,9.608948854,63.32500005,O,20,iJO1366,3,EX_succ_e
464,0.051282009,9.608799114,30.14900017,P,20,iJO1366,3,EX_succ_e
465,0.11255677,9.109142005,67.87199998,M,30,iJO1366,3,EX_succ_e
466,0.112556897,9.109127174,50.33200002,O,30,iJO1366,3,EX_succ_e
467,0.112556897,9.109126626,20.68900013,P,30,iJO1366,3,EX_succ_e
468,0.11255677,9.10914302,16.26999998,M,40,iJO1366,3,EX_succ_e
469,0.112556897,9.109127128,46.84299994,O,40,iJO1366,3,EX_succ_e
470,0.112556897,9.109126626,18.57599998,P,40,iJO1366,3,EX_succ_e
471,0.183109211,1.414832584,24.39499998,M,50,iJO1366,3,EX_succ_e
472,0.183109424,1.414794719,63.11399984,O,50,iJO1366,3,EX_succ_e
473,0.240086103,0.250372095,50.04900002,P,50,iJO1366,3,EX_succ_e
474,0.183109211,1.414833102,30.60099983,M,60,iJO1366,3,EX_succ_e
475,0.183109424,1.414794948,58.34799981,O,60,iJO1366,3,EX_succ_e
476,0.24008605,0.250371997,37.75600004,P,60,iJO1366,3,EX_succ_e
477,0.183109211,1.414832551,29.41900015,M,70,iJO1366,3,EX_succ_e
478,0.183109424,1.414795142,52.48599982,O,70,iJO1366,3,EX_succ_e
479,0.24008605,0.250372094,23.12400007,P,70,iJO1366,3,EX_succ_e
480,0.239328561,0.257467609,17.32099986,M,80,iJO1366,3,EX_succ_e
481,0.24008605,0.250371547,38.6650002,O,80,iJO1366,3,EX_succ_e
482,0.24008605,0.250371688,10.99599981,P,80,iJO1366,3,EX_succ_e
483,0.240082482,0.250408898,9.980000019,M,90,iJO1366,3,EX_succ_e
484,0.241501832,0.080064792,23.14100003,O,90,iJO1366,3,EX_succ_e
485,0.24008605,0.250371336,5.322000027,P,90,iJO1366,3,EX_succ_e
486,0.817524349,0.857014692,3.940000057,M,10,iAF1260,1,EX_succ_e
487,0.817632943,0.851034587,1.412999868,O,10,iAF1260,1,EX_succ_e
488,0.817632942,0.850922868,1.329999924,P,10,iAF1260,1,EX_succ_e
489,0.817632942,0.851036557,4.363999844,M,20,iAF1260,1,EX_succ_e
490,0.817632943,0.851034859,1.300000191,O,20,iAF1260,1,EX_succ_e
491,0.817632942,0.850922868,1.153000116,P,20,iAF1260,1,EX_succ_e
492,0.817632942,0.851038364,4.842000008,M,30,iAF1260,1,EX_succ_e
493,0.817632943,0.851032524,1.339999914,O,30,iAF1260,1,EX_succ_e
494,0.817632942,0.850922868,1.15899992,P,30,iAF1260,1,EX_succ_e
495,0.817587651,0.853524271,5.34100008,M,40,iAF1260,1,EX_succ_e
496,0.817632943,0.851036946,1.319000006,O,40,iAF1260,1,EX_succ_e
497,0.817632943,0.850922867,1.210999966,P,40,iAF1260,1,EX_succ_e
498,0.442785614,8.770497443,4.328000069,M,50,iAF1260,1,EX_succ_e
499,0.817632943,0.851030035,1.289000034,O,50,iAF1260,1,EX_succ_e
500,0.817632943,0.850922867,1.625,P,50,iAF1260,1,EX_succ_e
501,0.817632942,0.851034833,5.599999905,M,60,iAF1260,1,EX_succ_e
502,0.817632943,0.851032998,1.330000162,O,60,iAF1260,1,EX_succ_e
503,0.817632943,0.850922867,1.298000097,P,60,iAF1260,1,EX_succ_e
504,0.817632942,0.85102925,4.68900013,M,70,iAF1260,1,EX_succ_e
505,0.867720215,8.13436E-05,1.320000172,O,70,iAF1260,1,EX_succ_e
506,0.817632942,0.850922868,1.306999922,P,70,iAF1260,1,EX_succ_e
507,0.817610548,0.852273134,5.013999939,M,80,iAF1260,1,EX_succ_e
508,0.817632942,0.851038548,1.340000153,O,80,iAF1260,1,EX_succ_e
509,0.817632942,0.850922868,1.280999899,P,80,iAF1260,1,EX_succ_e
510,0.817632942,0.851030533,5.130000114,M,90,iAF1260,1,EX_succ_e
511,0.817632943,0.851040837,1.236000061,O,90,iAF1260,1,EX_succ_e
512,0.817632943,0.850922867,1.148999929,P,90,iAF1260,1,EX_succ_e
513,0.088557123,15.13289592,8.424000025,M,10,iAF1260,2,EX_succ_e
514,0.088557123,15.13260085,5.407000065,O,10,iAF1260,2,EX_succ_e
515,0.817632942,0.850922868,6.633000135,P,10,iAF1260,2,EX_succ_e
516,0.177114245,13.5424316,13.21299982,M,20,iAF1260,2,EX_succ_e
517,0.177114245,13.54423379,2.735999823,O,20,iAF1260,2,EX_succ_e
518,0.817632942,0.850922868,6.625,P,20,iAF1260,2,EX_succ_e
519,0.265671368,11.95525463,8.995999813,M,30,iAF1260,2,EX_succ_e
520,0.265671368,11.95526125,2.632999897,O,30,iAF1260,2,EX_succ_e
521,0.817632942,0.850922868,6.61500001,P,30,iAF1260,2,EX_succ_e
522,0.817582498,0.853337957,9.826999903,M,40,iAF1260,2,EX_succ_e
523,0.354228491,10.3605464,9.200000048,O,40,iAF1260,2,EX_succ_e
524,0.817632942,0.850922868,7.727999926,P,40,iAF1260,2,EX_succ_e
525,0.442785614,8.770500936,7.720000029,M,50,iAF1260,2,EX_succ_e
526,0.442785614,8.761531688,3.880000114,O,50,iAF1260,2,EX_succ_e
527,0.817632942,0.850922869,6.008000135,P,50,iAF1260,2,EX_succ_e
528,0.817613856,0.852068379,18.34500003,M,60,iAF1260,2,EX_succ_e
529,0.531342737,7.177828423,3.65199995,O,60,iAF1260,2,EX_succ_e
530,0.817632942,0.850922868,8.101999998,P,60,iAF1260,2,EX_succ_e
531,0.817612939,0.852136218,12.30099988,M,70,iAF1260,2,EX_succ_e
532,0.619899859,5.554263396,5.208999872,O,70,iAF1260,2,EX_succ_e
533,0.817632942,0.850922868,5.692000151,P,70,iAF1260,2,EX_succ_e
534,0.708456982,3.949489346,8.454999924,M,80,iAF1260,2,EX_succ_e
535,0.708456982,3.949455293,5.093999863,O,80,iAF1260,2,EX_succ_e
536,0.817632942,0.850922869,4.721000195,P,80,iAF1260,2,EX_succ_e
537,0.805763083,1.505960908,14.11299992,M,90,iAF1260,2,EX_succ_e
538,0.797014105,2.317307838,4.886000156,O,90,iAF1260,2,EX_succ_e
539,0.817632942,0.850922868,4.501999855,P,90,iAF1260,2,EX_succ_e
540,0.088557123,15.13322019,6.078999996,M,10,iAF1260,3,EX_succ_e
541,0.088557123,15.13260212,3.464999914,O,10,iAF1260,3,EX_succ_e
542,0.817632942,0.850922868,398.066,P,10,iAF1260,3,EX_succ_e
543,0.177114245,13.54424329,12.80599999,M,20,iAF1260,3,EX_succ_e
544,0.177114245,13.54300942,17.76999998,O,20,iAF1260,3,EX_succ_e
545,0.817632942,0.850922868,280.766,P,20,iAF1260,3,EX_succ_e
546,0.265671368,11.95342371,8.513000011,M,30,iAF1260,3,EX_succ_e
547,0.265671368,11.95526066,2.610999823,O,30,iAF1260,3,EX_succ_e
548,0.817632942,0.851027136,227.687,P,30,iAF1260,3,EX_succ_e
549,0.354228491,10.36316757,4.318000078,M,40,iAF1260,3,EX_succ_e
550,0.354228491,10.36262922,2.694000006,O,40,iAF1260,3,EX_succ_e
551,0.817632942,0.850922868,120.4919999,P,40,iAF1260,3,EX_succ_e
552,0.442785614,8.743764823,25.51100016,M,50,iAF1260,3,EX_succ_e
553,0.442785614,8.755754796,11.55099988,O,50,iAF1260,3,EX_succ_e
554,0.817632942,0.850922868,385.1110001,P,50,iAF1260,3,EX_succ_e
555,0.531342737,7.177817923,8.536000013,M,60,iAF1260,3,EX_succ_e
556,0.531342737,3.203144108,89.57700014,O,60,iAF1260,3,EX_succ_e
557,0.817632943,0.851039552,361.1949999,P,60,iAF1260,3,EX_succ_e
558,0.619899859,5.554261235,8.47300005,M,70,iAF1260,3,EX_succ_e
559,0.619899859,5.54617684,16.86999989,O,70,iAF1260,3,EX_succ_e
560,0.817632943,0.850922922,217.7120001,P,70,iAF1260,3,EX_succ_e
561,0.708456982,3.949489164,21.27999997,M,80,iAF1260,3,EX_succ_e
562,0.708456982,3.937722385,11.67199993,O,80,iAF1260,3,EX_succ_e
563,0.817632942,0.850922868,145.279,P,80,iAF1260,3,EX_succ_e
564,0.797014105,2.317337369,24.84799981,M,90,iAF1260,3,EX_succ_e
565,0.817632943,0.851041755,57.51699996,O,90,iAF1260,3,EX_succ_e
566,0.797013223,2.151700276,9.993999958,P,90,iAF1260,3,EX_succ_e
