Column1,MB,MC,OB,OC,PB,PC,tgt,MGKO,OGKO,PGKO,Mt,Ot,Pt,K,Strain,BObj
0,0.24009,8.21832,0.24008,8.21816,0.24008,8.21816,90,"['FUM', 'PGL']","['FUM', 'MDH']","['FUM', 'MDH']",12.553,3.977,1.961,2,iJO,ac
1,0.19481,17.00357,0.19481,17.00354,0.24008,8.21816,80,"['ALCD2x', 'LDH_D']","['ACALD', 'G6PDH2r']","['FUM', 'MDH']",7.578,4.195,3.693,2,iJO,ac
2,0.19481,17.00362,0.19481,17.00355,0.24008,8.21816,70,"['ACALD', 'FRD2']","['AKGDH', 'ALCD2x']","['FUM', 'MDH']",18.295,6,4.05,2,iJO,ac
3,0.19481,17.00376,0.19481,17.00354,0.15092,12.88018,60,"['ACALD', 'AKGDH']","['ALCD2x', 'PGL']","['FUM', 'TPI']",9.255,5.916,4.603,2,iJO,ac
4,0.12719,18.04365,0.12719,18.04409,0.15092,12.88018,50,"['ACALD', 'TPI']","['ALCD2x', 'TPI']","['FUM', 'TPI']",14.788,6.761,5.69,2,iJO,ac
5,0.12719,18.04372,0.12719,18.04407,0.15092,12.88018,40,"['ACALD', 'TPI']","['ALCD2x', 'TPI']","['FUM', 'TPI']",13.472,8.169,6.256,2,iJO,ac
6,0.07919,18.78186,0.07919,18.78206,0.15092,12.88018,30,"['ALCD2x', 'GLCptspp']","['ACALD', 'GLCptspp']","['FUM', 'TPI']",12.527,8.953,7.633,2,iJO,ac
7,0.07919,18.78194,0.07919,18.78185,0.0502,14.29497,20,"['ACALD', 'GLCptspp']","['ALCD2x', 'GLCptspp']","['GLCptspp', 'TPI']",14.38,9.159,6.973,2,iJO,ac
8,0.07919,18.78197,0.07919,18.78185,0.0502,14.29497,10,"['ACALD', 'GLCptspp']","['ALCD2x', 'GLCptspp']","['GLCptspp', 'TPI']",14.212,9.043,7.071,2,iJO,ac
9,0.24008,8.21823,0.24008,8.21816,0.24008,8.21816,90,"['FUM', 'MDH', 'PFK']","['FUM', 'GND', 'MDH']","['FUM', 'GND', 'MDH']",9.319,19.226,9.12,3,iJO,ac
10,0.1932,17.03363,0.19481,17.00354,0.21569,8.2501,80,"['ACALD', 'HEX1', 'TALA']","['ACALD', 'G6PDH2r', 'PGL']","['FBA', 'G6PDH2r', 'TALA']",9.894,17.868,20.599,3,iJO,ac
11,0.17867,17.21656,0.17867,17.21654,0.21569,8.2501,70,"['ALCD2x', 'FBA', 'TALA']","['ALCD2x', 'PFK', 'TALA']","['G6PDH2r', 'PFK', 'TALA']",16.654,30.663,26.98,3,iJO,ac
12,0.17867,17.21657,0.17867,17.21654,0.15092,12.88032,60,"['ALCD2x', 'PFK', 'TALA']","['ACALD', 'FBA', 'TALA']","['FUM', 'MDH', 'TPI']",9.563,30.725,33.504,3,iJO,ac
13,0.12719,18.04369,0.12719,18.04364,0.15092,12.88032,50,"['ALCD2x', 'PGI', 'TPI']","['ALCD2x', 'SUCOAS', 'TPI']","['FUM', 'MDH', 'TPI']",23.338,39.69,47.922,3,iJO,ac
14,0.12719,18.04371,0.12719,18.04407,0.15092,12.88031,40,"['ALCD2x', 'PGI', 'TPI']","['ALCD2x', 'GLCabcpp', 'TPI']","['FRD2', 'MDH', 'TPI']",15.677,40.822,57.962,3,iJO,ac
15,0.07919,18.78186,0.07919,18.78207,0.15092,12.88032,30,"['ALCD2x', 'G6PDH2r', 'GLCptspp']","['ALCD2x', 'GLCptspp', 'MDH3']","['FUM', 'MDH', 'TPI']",18.733,58.649,71.954,3,iJO,ac
16,0.07919,18.78187,0.07919,18.78186,0.04989,14.2993,20,"['ACALD', 'GLCptspp', 'SUCOAS']","['ALCD2x', 'G6PDH2r', 'PGI']","['GLCptspp', 'MDH', 'TPI']",78.562,59.719,72.77,3,iJO,ac
17,0.07919,18.78186,0.07919,18.78185,0.04989,14.2993,10,"['ALCD2x', 'GLCptspp', 'MDH2']","['ALCD2x', 'GLCptspp', 'MDH3']","['GLCptspp', 'MDH', 'TPI']",23.707,62.759,75.5,3,iJO,ac
18,0.23865,8.44576,0.23865,8.4457,0.23865,8.4457,90,"['MDH', 'TKT2']","['MDH', 'TKT2']","['MDH', 'TKT2']",8.458,3.91,2.053,2,iJO,etoh
19,0.19486,16.88929,0.19486,16.88925,0.19718,16.45005,80,"['ACKr', 'G6PDH2r']","['ACKr', 'GND']","['LDH_D', 'PTAr']",13.963,6.291,3.78,2,iJO,etoh
20,0.1892,17.20312,0.18921,17.20292,0.18921,17.20292,70,"['MDH2', 'PFL']","['FBA', 'PFL']","['LDH_D', 'PFL']",11.313,7.018,5.533,2,iJO,etoh
21,0.18921,17.20294,0.18921,17.20293,0.18921,17.20292,60,"['HEX1', 'PFL']","['HEX1', 'PFL']","['LDH_D', 'PFL']",15.404,7.402,5.013,2,iJO,etoh
22,0.18921,17.20294,0.18921,17.20292,0.18921,17.20292,50,"['GND', 'PFL']","['PFL', 'SUCOAS']","['LDH_D', 'PFL']",8.035,7.759,5.703,2,iJO,etoh
23,0.18921,17.20294,0.18921,17.20292,0.18921,17.20292,40,"['AKGDH', 'PFL']","['FBA', 'PFL']","['LDH_D', 'PFL']",13.576,8.312,6.272,2,iJO,etoh
24,0.07692,18.86291,0.07692,18.86302,0.18921,17.20292,30,"['GLCptspp', 'PFL']","['GLCptspp', 'PFL']","['LDH_D', 'PFL']",16.266,9.286,7.46,2,iJO,etoh
25,0.07692,18.86291,0.07692,18.86291,0.18921,17.20293,20,"['GLCptspp', 'PFL']","['GLCptspp', 'PFL']","['LDH_D', 'PFL']",15.618,9.864,7.973,2,iJO,etoh
26,0.07692,18.86291,0.07692,18.86302,0.18921,17.20292,10,"['GLCptspp', 'PFL']","['GLCptspp', 'PFL']","['LDH_D', 'PFL']",12.767,10.075,8.371,2,iJO,etoh
27,0.22264,8.55002,0.22264,8.54996,0.22264,8.54996,90,"['FBA', 'TKT2', 'TALA']","['PFK', 'TKT2', 'TALA']","['FBA', 'TKT2', 'TALA']",9.734,19.36,8.437,3,iJO,etoh
28,0.19406,16.90208,0.19406,16.90203,0.19623,16.4906,80,"['G6PDH2r', 'MDH', 'PTAr']","['G6PDH2r', 'MDH', 'PTAr']","['ACKr', 'LDH_D', 'MDH']",11.046,23.367,16.073,3,iJO,etoh
29,0.1705,17.33453,0.1705,17.33451,0.18921,17.20292,70,"['PFK', 'PFL', 'TALA']","['FBA', 'PFL', 'TALA']","['G6PDH2r', 'LDH_D', 'PFL']",15.452,34.622,22.384,3,iJO,etoh
30,0.1705,17.33454,0.1705,17.33451,0.18921,17.20292,60,"['FBA', 'PFL', 'TALA']","['FBA', 'PFL', 'TALA']","['FRD2', 'LDH_D', 'PFL']",33.199,34.756,17.709,3,iJO,etoh
31,0.1705,17.33453,0.1705,17.33452,0.18921,17.20292,50,"['PFK', 'PFL', 'TALA']","['PFK', 'PFL', 'TALA']","['GND', 'LDH_D', 'PFL']",31.176,34.794,22.183,3,iJO,etoh
32,0.1705,17.33453,0.1705,17.33451,0.18921,17.20292,40,"['PFK', 'PFL', 'TALA']","['PFK', 'PFL', 'TALA']","['GND', 'LDH_D', 'PFL']",35.233,39.534,24.329,3,iJO,etoh
33,0.07245,18.92899,0.07692,18.86302,0.07692,18.86291,30,"['AKGDH', 'GLCptspp', 'PFL']","['FBA', 'GLCptspp', 'PFL']","['GLCptspp', 'LDH_D', 'PFL']",12.369,51.469,31.553,3,iJO,etoh
34,0.07692,18.86306,0.07692,18.86302,0.07692,18.86291,20,"['GLCptspp', 'GND', 'PFL']","['GLCptspp', 'PGL', 'PFL']","['GLCptspp', 'LDH_D', 'PFL']",44.198,53.564,38.433,3,iJO,etoh
35,0.07692,18.86292,0.07692,18.86302,0.07692,18.86291,10,"['GLCptspp', 'PGI', 'PFL']","['G6PDH2r', 'PGI', 'PFL']","['GLCptspp', 'LDH_D', 'PFL']",27.116,55.639,47.125,3,iJO,etoh
36,0.22286,17.44912,0.22286,17.44901,0.22286,17.44901,90,"['FBA', 'TALA']","['FBA', 'TALA']","['PFK', 'TALA']",15.031,3.793,2.53,2,iJO,for
37,0.1937,34.89039,0.1937,34.89035,0.19481,17.80859,80,"['ACALD', 'TALA']","['ACALD', 'TKT1']","['ALCD2x', 'LDH_D']",7.45,5.219,4.174,2,iJO,for
38,0.1916,35.23805,0.1916,35.23804,0.19481,17.80859,70,"['ACALD', 'TKT2']","['ALCD2x', 'TKT2']","['ACALD', 'LDH_D']",5.912,6.416,4.961,2,iJO,for
39,0.1916,35.23807,0.1916,35.23801,0.15106,26.64939,60,"['ALCD2x', 'TKT2']","['ALCD2x', 'TKT2']","['TKT2', 'TPI']",19.647,6.369,6.068,2,iJO,for
40,0.12719,36.54448,0.12719,36.5455,0.15106,26.64939,50,"['ACALD', 'TPI']","['ALCD2x', 'TPI']","['TKT2', 'TPI']",11.171,7.515,6.57,2,iJO,for
41,0.12719,36.54447,0.12719,36.54444,0.15106,26.64939,40,"['ACALD', 'TPI']","['ALCD2x', 'TPI']","['TKT2', 'TPI']",19.006,8.136,7.229,2,iJO,for
42,0.07919,37.84838,0.07919,37.84891,0.15106,26.64939,30,"['ACALD', 'GLCptspp']","['ALCD2x', 'GLCptspp']","['TKT2', 'TPI']",13.85,10.263,7.446,2,iJO,for
43,0.07919,37.84838,0.07919,37.8489,0.0502,28.77037,20,"['ACALD', 'GLCptspp']","['ACALD', 'GLCptspp']","['GLCptspp', 'TPI']",19.824,10.086,7.797,2,iJO,for
44,0.07919,37.84892,0.07919,37.84837,0.0502,28.77037,10,"['ACALD', 'GLCptspp']","['ACALD', 'GLCptspp']","['GLCptspp', 'TPI']",20.354,10.643,7.529,2,iJO,for
45,0.22286,17.44912,0.22286,17.44901,0.22286,17.44901,90,"['FRD2', 'FBA', 'TALA']","['FBA', 'MDH2', 'TALA']","['FBA', 'PFK', 'TALA']",7.518,19.354,8.159,3,iJO,for
46,0.1937,34.89046,0.1937,34.89035,0.19481,17.80859,80,"['ALCD2x', 'GLCabcpp', 'TALA']","['ALCD2x', 'FRD2', 'TALA']","['ALCD2x', 'GLCabcpp', 'LDH_D']",8.696,16.261,20.629,3,iJO,for
47,0.17866,35.28768,0.17867,35.28699,0.19481,34.7073,70,"['ACALD', 'FBA', 'TALA']","['ALCD2x', 'FBA', 'TALA']","['ACALD', 'LDH_D', 'PYK']",6.707,30.888,16.444,3,iJO,for
48,0.17867,35.28705,0.17867,35.28699,0.15106,26.64939,60,"['ALCD2x', 'FBA', 'TALA']","['ACALD', 'FBA', 'TALA']","['HEX1', 'TKT2', 'TPI']",44.343,31.206,34.789,3,iJO,for
49,0.13081,38.58953,0.13081,38.5905,0.15106,26.64939,50,"['ACALD', 'GLCabcpp', 'PGI']","['ALCD2x', 'GLCabcpp', 'PGI']","['PYK', 'TKT2', 'TPI']",11.97,34.239,50.901,3,iJO,for
50,0.13081,38.58925,0.13081,38.5905,0.15106,26.64939,40,"['ACALD', 'GLCabcpp', 'PGI']","['ACALD', 'GLCabcpp', 'PGI']","['AKGDH', 'TKT2', 'TPI']",66.628,40.951,60.568,3,iJO,for
51,0.13081,38.58925,0.13081,38.58919,0.15106,26.64939,30,"['ALCD2x', 'GLCabcpp', 'PGI']","['ALCD2x', 'GLCabcpp', 'PGI']","['FBA', 'TKT2', 'TPI']",19.483,59.706,75.651,3,iJO,for
52,0.13081,38.5893,0.13081,38.58919,0.04954,28.90127,20,"['ACALD', 'GLCabcpp', 'PGI']","['ALCD2x', 'GLCabcpp', 'PGI']","['GLCptspp', 'TKT2', 'TPI']",15.979,60.884,65.446,3,iJO,for
53,0.13079,38.59692,0.13081,38.5905,0.04954,28.90127,10,"['ALCD2x', 'GLCabcpp', 'PGI']","['ALCD2x', 'GLCabcpp', 'PGI']","['GLCptspp', 'TKT2', 'TPI']",18.572,63.926,84.233,3,iJO,for
54,0.24084,0.00189,0.2415,7.00E-05,0.2415,0,90,"['HEX1', 'TALA']","['GND', 'PGL']","['AKGDH', 'FBA']",11.847,4.076,7.288,2,iJO,lac
55,0.1932,17.02543,0.1937,16.98229,0.19481,16.86407,80,"['ACALD', 'TALA']","['ALCD2x', 'TALA']","['ACALD', 'ACKr']",6.809,6.01,4.199,2,iJO,lac
56,0.18921,17.20301,0.18921,17.20293,0.18923,17.20271,70,"['AKGDH', 'PFL']","['G6PDH2r', 'PFL']","['ALCD2x', 'PFL']",9.312,7.361,5.373,2,iJO,lac
57,0.18919,17.20323,0.18921,17.20293,0.18921,17.20292,60,"['AKGDH', 'PFL']","['AKGDH', 'PFL']","['ALCD2x', 'PFL']",18.091,7.041,4.603,2,iJO,lac
58,0.18921,17.20299,0.18921,17.20292,0.18921,17.20292,50,"['PGL', 'PFL']","['FBA', 'PFL']","['ALCD2x', 'PFL']",7.037,6.862,4.391,2,iJO,lac
59,0.18921,17.20293,0.18921,17.20292,0.18921,17.20292,40,"['ALCD2x', 'PFL']","['FBA', 'PFL']","['ALCD2x', 'PFL']",13.968,6.902,4.275,2,iJO,lac
60,0.07692,18.86295,0.07692,18.86302,0.18921,17.20292,30,"['GLCptspp', 'PFL']","['GLCptspp', 'PFL']","['ALCD2x', 'PFL']",10.516,8.55,6.891,2,iJO,lac
61,0.07692,18.86291,0.07692,18.86291,0.18921,17.20292,20,"['GLCptspp', 'PFL']","['GLCptspp', 'PFL']","['ALCD2x', 'PFL']",17.031,10.255,7.707,2,iJO,lac
62,0.07692,18.86291,0.07692,18.86302,0.18921,17.20292,10,"['GLCptspp', 'PFL']","['GLCptspp', 'PFL']","['ALCD2x', 'PFL']",11.039,9.437,8.235,2,iJO,lac
63,0.24084,0.00215,0.2415,7.00E-05,0.23546,1.00E-05,90,"['FRD2', 'MDH2', 'TALA']","['AKGDH', 'FBA', 'G6PDH2r']","['G6PDH2r', 'LDH_D', 'TKT1']",33.459,19.324,33.107,3,iJO,lac
64,0.1937,16.98234,0.1937,16.98229,0.19481,16.89871,80,"['ACALD', 'GLCabcpp', 'TALA']","['ALCD2x', 'FRD2', 'TKT1']","['ACALD', 'GLCabcpp', 'PTAr']",9.281,22.305,14.092,3,iJO,lac
65,0.1705,17.33453,0.1705,17.33451,0.18921,17.20292,70,"['FBA', 'PFL', 'TALA']","['PFK', 'PFL', 'TALA']","['ALCD2x', 'G6PDH2r', 'PFL']",16.216,38.993,21.425,3,iJO,lac
66,0.17049,17.33472,0.1705,17.33451,0.18921,17.20292,60,"['PFK', 'PFL', 'TALA']","['FBA', 'PFL', 'TALA']","['ALCD2x', 'G6PDH2r', 'PFL']",19.719,40.024,37.04,3,iJO,lac
67,0.1705,17.33453,0.1705,17.33451,0.18921,17.20292,50,"['PFK', 'PFL', 'TALA']","['PFK', 'PFL', 'TALA']","['ALCD2x', 'PGL', 'PFL']",53.137,40.958,22.958,3,iJO,lac
68,0.1705,17.33453,0.1705,17.33451,0.18921,17.20292,40,"['FBA', 'PFL', 'TALA']","['PFK', 'PFL', 'TALA']","['ALCD2x', 'FBA', 'PFL']",42.656,39.479,27.693,3,iJO,lac
69,0.07692,18.86294,0.07692,18.86291,0.07692,18.86291,30,"['G6PDH2r', 'PGI', 'PFL']","['GLCptspp', 'PFK', 'PFL']","['ALCD2x', 'GLCptspp', 'PFL']",46.162,54.81,40.735,3,iJO,lac
70,0.07692,18.86296,0.07692,18.86302,0.07692,18.86291,20,"['G6PDH2r', 'GLCptspp', 'PFL']","['GLCptspp', 'GND', 'PFL']","['ALCD2x', 'GLCptspp', 'PFL']",52.187,57.536,50.915,3,iJO,lac
71,0.07691,18.86302,0.07692,18.86302,0.07692,18.86291,10,"['G6PDH2r', 'PGI', 'PFL']","['PGI', 'PGL', 'PFL']","['ALCD2x', 'GLCptspp', 'PFL']",35.755,56.663,46.484,3,iJO,lac
72,0.82975,10.85661,0.82975,10.85661,0.83376,0.30629,90,"['TALA', 'RPE']","['RPE', 'TKT2']","['ACKr', 'TPI']",2.429,1.47,4.064,2,iJR,for
73,0.91118,0.33609,0.91118,0.33475,0.83376,0.30629,80,"['FRD2', 'TKT2']","['HEX1', 'TKT2']","['ACKr', 'TPI']",5.692,3.593,5.15,2,iJR,for
74,0.90846,0.34468,0.91118,0.33476,0.83376,0.30629,70,"['MDH2', 'RPE']","['PYK', 'TKT2']","['ACKr', 'TPI']",3.854,3.562,5.654,2,iJR,for
75,0.89387,2.60083,0.55317,27.58199,0.83684,0.30742,60,"['G6PDH2r', 'TKT1']","['TALA', 'RPE']","['ACKr', 'TPI']",5.744,2.817,5.302,2,iJR,for
76,0.90614,0.83182,0.91118,0.33476,0.83632,0.30723,50,"['FBA', 'PTAr']","['MDH2', 'TKT2']","['ACKr', 'TPI']",4.828,4.091,5.548,2,iJR,for
77,0.36878,33.97407,0.91118,0.33476,0.83376,0.30629,40,"['ICDHyr', 'PYK']","['LDH_D', 'TKT2']","['PTAr', 'TPI']",1.251,4.212,6.869,2,iJR,for
78,0.89382,2.60702,0.91118,0.33476,0.8353,0.30686,30,"['PGL', 'TKT1']","['HEX1', 'TKT2']","['ACKr', 'TPI']",4.675,4.077,5.799,2,iJR,for
79,0.18439,39.99455,0.91118,0.33476,0.83478,0.30667,20,"['PGL', 'RPI']","['FRD2', 'TKT2']","['ACKr', 'TPI']",1.376,4.126,5.582,2,iJR,for
80,0.83407,10.26081,0.91118,0.33476,0.83376,0.30629,10,"['GND', 'TKT1']","['PYK', 'TKT2']","['ACKr', 'TPI']",4.25,4.112,6.511,2,iJR,for
81,0.82975,10.58061,0.82975,3.24071,0.89281,0.32799,90,"['HEX1', 'PGL', 'RPI']","['PGI', 'RPE', 'TPI']","['ACKr', 'FBA', 'RPE']",2.357,12.359,30.018,3,iJR,for
82,0.76916,13.26617,0.73756,18.99502,0.89281,0.32799,80,"['GND', 'PGI', 'TALA']","['LDH_D', 'RPE', 'TKT2']","['FBA', 'PTAr', 'RPE']",10.658,3.224,51.079,3,iJR,for
83,0.82478,10.72395,0.64536,24.59304,0.89018,0.32702,70,"['G6PDH2r', 'GND', 'TALA']","['GND', 'MDH3', 'TKT2']","['FBA', 'PTAr', 'TALA']",19.279,0.603,74.976,3,iJR,for
84,0.55317,27.95345,0.55317,27.95357,0.55317,24.85564,60,"['FRD2', 'LDH_D', 'RPI']","['GND', 'ICDHyr', 'MDH3']","['ENO', 'ICDHyr', 'RPE']",1.402,0.559,41.357,3,iJR,for
85,0.65868,17.19025,0.46097,30.6583,0.89281,0.32799,50,"['GND', 'PGM', 'TALA']","['ACALD', 'TALA', 'TKT2']","['ACKr', 'FBA', 'RPE']",18.857,9.676,113.337,3,iJR,for
86,0.36878,32.49871,0.36878,33.97408,0.89281,0.32799,40,"['GND', 'PGI', 'TPI']","['GND', 'ICDHyr', 'MDH3']","['FBA', 'PTAr', 'RPE']",11.685,0.575,155.26,3,iJR,for
87,0.58714,7.72702,0.27658,36.98433,0.89281,0.32802,30,"['GND', 'PGK', 'TALA']","['GND', 'ICDHyr', 'MDH3']","['ACKr', 'PFK', 'RPE']",17.193,0.559,163.997,3,iJR,for
88,0.18439,39.99455,0.18439,39.99459,0.18439,38.2206,20,"['G6PDH2r', 'ICDHyr', 'PGL']","['ICDHyr', 'MDH3', 'PGL']","['ACKr', 'ENO', 'FRD2']",1.379,0.616,17.637,3,iJR,for
89,0.76913,13.26995,0.09219,43.00484,0.89281,0.32803,10,"['GND', 'PGI', 'TALA']","['ICDHyr', 'MDH3', 'PGL']","['FBA', 'PTAr', 'RPE']",13.82,0.62,195.275,3,iJR,for
90,0.84543,0.29751,0.84269,0.88348,0.84297,0.26403,90,"['FRD2', 'FUM']","['ACKr', 'FUM']","['FUM', 'PTAr']",4.515,2.333,2.15,2,iJR,fum
91,0.73756,3.59767,0.84269,0.88348,0.84297,0.26403,80,"['PGL', 'RPI']","['ACKr', 'FUM']","['FUM', 'PTAr']",2.585,3.147,3.132,2,iJR,fum
92,0.84297,0.26453,0.64536,5.51743,0.84297,0.26403,70,"['FUM', 'PTAr']","['RPE', 'TKT1']","['ACKr', 'FUM']",5.289,2.927,4.486,2,iJR,fum
93,0.84296,0.28732,0.55317,7.39253,0.84297,0.26403,60,"['ACKr', 'FUM']","['RPE', 'TKT1']","['ACKr', 'FUM']",5.336,2.133,5.118,2,iJR,fum
94,0.46097,9.26756,0.84269,0.88348,0.84491,0.26464,50,"['GND', 'RPE']","['ACKr', 'FUM']","['ACKr', 'FUM']",1.995,4.069,4.456,2,iJR,fum
95,0.84292,0.36548,0.36878,11.14258,0.84452,0.26452,40,"['ACKr', 'FUM']","['RPE', 'TKT1']","['ACKr', 'FUM']",6.619,2.62,4.564,2,iJR,fum
96,0.8429,0.41906,0.27658,12.78881,0.27658,12.73535,30,"['ACKr', 'FUM']","['HEX1', 'ICDHyr']","['CS', 'MDH']",4.376,1.922,1.783,2,iJR,fum
97,0.84293,0.35151,0.84269,0.88348,0.84297,0.26403,20,"['ACKr', 'FUM']","['FUM', 'PTAr']","['FUM', 'PTAr']",4.253,4.099,5.026,2,iJR,fum
98,0.84293,0.34799,0.84269,0.88348,0.84297,0.26403,10,"['FUM', 'PTAr']","['ACKr', 'FUM']","['ACKr', 'FUM']",4.64,4.154,6.158,2,iJR,fum
99,0.82975,1.76732,0.82975,1.7524,0.82975,1.66522,90,"['ACKr', 'AKGDH', 'ICDHyr']","['LDH_D', 'RPE', 'TKT1']","['ICDHyr', 'PFK', 'PTAr']",2.431,3.128,9.571,3,iJR,fum
100,0.73756,3.59767,0.73756,3.64247,0.84285,0.52958,80,"['FRD2', 'PGL', 'RPI']","['LDH_D', 'RPE', 'TKT2']","['ACKr', 'FRD2', 'FUM']",4.227,4.502,36.526,3,iJR,fum
101,0.72858,3.31668,0.64536,4.76201,0.72232,0.75728,70,"['FUM', 'GND', 'TKT1']","['PGI', 'RPE', 'TPI']","['FUM', 'TKT2', 'TPI']",15.961,20.425,51.957,3,iJR,fum
102,0.72268,3.4925,0.55317,7.39253,0.72431,0.75937,60,"['FUM', 'GND', 'TALA']","['MDH2', 'TALA', 'RPE']","['FUM', 'PGI', 'TKT2']",18.382,3.235,83.903,3,iJR,fum
103,0.46097,9.24077,0.46097,9.26756,0.72431,0.75937,50,"['GND', 'MDH3', 'RPE']","['LDH_D', 'RPE', 'TKT1']","['FUM', 'PGI', 'TKT2']",3.675,3.303,86.082,3,iJR,fum
104,0.36878,10.21748,0.36878,11.14258,0.72431,0.75937,40,"['GND', 'PGI', 'TPI']","['LDH_D', 'RPE', 'TKT2']","['FUM', 'PGI', 'TKT2']",17.225,4.618,101.149,3,iJR,fum
105,0.27658,12.73535,0.27658,12.97229,0.72431,0.75937,30,"['CS', 'MDH', 'MDH2']","['PGL', 'TALA', 'RPE']","['FUM', 'PGI', 'TKT2']",2.972,7.775,109.782,3,iJR,fum
106,0.18439,14.89366,0.18439,14.89368,0.18439,11.38441,20,"['GND', 'MDH2', 'RPE']","['FRD2', 'MDH2', 'RPI']","['GAPD', 'ICDHyr', 'PFK']",2.37,1.052,65.898,3,iJR,fum
107,0.81093,0.852,0.09219,16.75265,0.72431,0.75937,10,"['FUM', 'HEX1', 'PGI']","['MDH2', 'RPE', 'TKT2']","['FUM', 'PGI', 'TKT2']",12.998,4.038,185.212,3,iJR,fum
