,Biomass,Chemical,Method,Time,Tgt,Strain,K,Strategy
0,0.88557,8e-05,M,1.071,1.0,iAF1260,1,['PYK']
1,0.81763,0.85104,M,5.145,0.9,iAF1260,1,['FUM']
2,0.81763,0.85103,M,5.23,0.8,iAF1260,1,['FUM']
3,0.81761,0.85215,M,3.753,0.7,iAF1260,1,['FUM']
4,0.53134,7.17782,M,2.944,0.6,iAF1260,1,['RPI']
5,0.81761,0.8522,M,5.139,0.5,iAF1260,1,['FUM']
6,0.81757,0.85443,M,3.675,0.4,iAF1260,1,['FUM']
7,0.8176,0.85266,M,4.217,0.3,iAF1260,1,['FUM']
8,0.81759,0.85365,M,4.205,0.2,iAF1260,1,['FUM']
9,0.81761,0.85232,M,4.824,0.1,iAF1260,1,['FUM']
10,0.0,16.72215,M,1.626,1.4e-16,iAF1260,1,['ICDHyr']
11,0.88557,0.00011,C,0.36,1.0,iAF1260,1,['PYK']
12,0.81763,0.85092,C,1.594,0.9,iAF1260,1,['FUM']
13,0.81763,0.85092,C,1.702,0.8,iAF1260,1,['FUM']
14,0.81763,0.85092,C,1.608,0.7,iAF1260,1,['FUM']
15,0.81763,0.85092,C,1.845,0.6,iAF1260,1,['FUM']
16,0.81763,0.85092,C,1.943,0.5,iAF1260,1,['FUM']
17,0.81763,0.85092,C,1.625,0.4,iAF1260,1,['FUM']
18,0.81763,0.85092,C,1.836,0.3,iAF1260,1,['FUM']
19,0.81763,0.85092,C,1.901,0.2,iAF1260,1,['FUM']
20,0.81763,0.85092,C,1.699,0.1,iAF1260,1,['FUM']
21,0.0,16.72215,C,1.223,1.4e-16,iAF1260,1,['ICDHyr']
22,0.88557,0.00011,P,0.439,1.0,iAF1260,1,['MDH3']
23,0.81763,0.85092,P,0.848,0.9,iAF1260,1,['FUM']
24,0.70846,3.99248,P,0.56,0.8,iAF1260,1,['FRD2']
25,0.6199,5.58515,P,0.591,0.7,iAF1260,1,['FRD2']
26,0.81763,0.85092,P,1.026,0.6,iAF1260,1,['FUM']
27,0.86653,0.57981,P,0.563,0.5,iAF1260,1,['FRD2']
28,0.87738,8e-05,P,0.416,0.4,iAF1260,1,['ACKr']
29,0.87738,8e-05,P,0.434,0.3,iAF1260,1,['ACKr']
30,0.81763,0.85092,P,0.982,0.2,iAF1260,1,['FUM']
31,0.86268,6e-05,P,0.642,0.1,iAF1260,1,['GLCptspp']
32,0.0,16.72215,P,0.704,1.4e-16,iAF1260,1,['ICDHyr']
0,0.2415,0.08005,M,1.215,1.0,iJO1366,1,['GLCabcpp']
1,0.24009,0.25039,M,4.8,0.9,iJO1366,1,['FUM']
2,0.24009,0.25039,M,5.338,0.8,iJO1366,1,['FUM']
3,0.24009,0.25039,M,6.252,0.7,iJO1366,1,['FUM']
4,0.24009,0.25039,M,6.276,0.6,iJO1366,1,['FUM']
5,0.24009,0.25039,M,5.461,0.5,iJO1366,1,['FUM']
6,0.24009,0.25041,M,6.354,0.4,iJO1366,1,['FUM']
7,0.24009,0.25037,M,6.316,0.3,iJO1366,1,['FUM']
8,0.24009,0.25037,M,5.486,0.2,iJO1366,1,['FUM']
9,0.24009,0.25039,M,6.727,0.1,iJO1366,1,['FUM']
10,-0.0,15.76889,M,2.049,1.4e-16,iJO1366,1,['ICDHyr']
11,0.2415,0.08008,C,0.367,1.0,iJO1366,1,['PYK']
12,0.24009,0.25037,C,1.103,0.9,iJO1366,1,['FUM']
13,0.24009,0.25037,C,1.48,0.8,iJO1366,1,['FUM']
14,0.24009,0.25037,C,1.435,0.7,iJO1366,1,['FUM']
15,0.24009,0.25037,C,1.507,0.6,iJO1366,1,['FUM']
16,0.24009,0.25037,C,1.584,0.5,iJO1366,1,['FUM']
17,0.24009,0.25037,C,1.468,0.4,iJO1366,1,['FUM']
18,0.24009,0.25037,C,1.456,0.3,iJO1366,1,['FUM']
19,0.24009,0.25037,C,1.656,0.2,iJO1366,1,['FUM']
20,0.24009,0.25037,C,2.532,0.1,iJO1366,1,['FUM']
21,-0.0,15.76889,C,0.971,1.4e-16,iJO1366,1,['ICDHyr']
22,0.2415,0.08008,P,0.432,1.0,iJO1366,1,['AKGDH']
23,0.24009,0.25037,P,0.759,0.9,iJO1366,1,['FUM']
24,0.24009,0.25037,P,0.897,0.8,iJO1366,1,['FUM']
25,0.24009,0.25037,P,0.926,0.7,iJO1366,1,['FUM']
26,0.24009,0.25037,P,0.977,0.6,iJO1366,1,['FUM']
27,0.24009,0.25037,P,1.009,0.5,iJO1366,1,['FUM']
28,0.24009,0.25037,P,1.069,0.4,iJO1366,1,['FUM']
29,0.24009,0.25037,P,0.952,0.3,iJO1366,1,['FUM']
30,0.24009,0.25037,P,0.811,0.2,iJO1366,1,['FUM']
31,0.24009,0.25037,P,1.363,0.1,iJO1366,1,['FUM']
32,0.24009,0.25037,P,0.884,1.4e-16,iJO1366,1,['FUM']
0,0.92195,0.00022,M,0.444,1.0,iJR904,1,['PYK']
1,0.84459,1.64247,M,1.261,0.9,iJR904,1,['TPI']
2,0.74529,3.80086,M,1.276,0.8,iJR904,1,['ENO']
3,0.74529,3.80066,M,1.696,0.7,iJR904,1,['PGM']
4,0.62501,6.41519,M,1.538,0.6,iJR904,1,['PGK']
5,0.62501,6.41519,M,1.519,0.5,iJR904,1,['GAPD']
6,0.36878,18.02611,M,0.703,0.4,iJR904,1,['CS']
7,0.27658,20.50494,M,1.063,0.3,iJR904,1,['ICDHyr']
8,0.18439,22.87759,M,0.724,0.2,iJR904,1,['ICDHyr']
9,0.09219,25.18523,M,1.371,0.1,iJR904,1,['CS']
10,-0.0,27.49287,M,0.802,1.4e-16,iJR904,1,['ICDHyr']
11,0.92195,1e-05,C,0.11,1.0,iJR904,1,['ACALD']
12,0.84459,1.64247,C,0.568,0.9,iJR904,1,['TPI']
13,0.73756,7.28447,C,0.116,0.8,iJR904,1,['CS']
14,0.64536,10.43541,C,0.143,0.7,iJR904,1,['CS']
15,0.55317,13.02176,C,0.137,0.6,iJR904,1,['CS']
16,0.46097,15.52393,C,0.132,0.5,iJR904,1,['CS']
17,0.36878,18.02611,C,0.211,0.4,iJR904,1,['CS']
18,0.27658,20.50494,C,0.136,0.3,iJR904,1,['CS']
19,0.18439,22.87759,C,0.135,0.2,iJR904,1,['CS']
20,0.09219,25.1853,C,0.221,0.1,iJR904,1,['CS']
21,-0.0,27.49287,C,0.246,1.4e-16,iJR904,1,['CS']
22,0.92195,1e-05,P,0.151,1.0,iJR904,1,['FRD2']
23,0.84459,1.64246,P,0.359,0.9,iJR904,1,['TPI']
24,0.74529,3.80065,P,0.357,0.8,iJR904,1,['ENO']
25,0.74529,3.80065,P,0.396,0.7,iJR904,1,['ENO']
26,0.62501,6.41502,P,0.391,0.6,iJR904,1,['PGK']
27,0.62501,6.41502,P,0.426,0.5,iJR904,1,['PGK']
28,0.62501,6.41502,P,0.448,0.4,iJR904,1,['GAPD']
29,0.84459,1.64246,P,0.278,0.3,iJR904,1,['TPI']
30,0.84459,1.64246,P,0.283,0.2,iJR904,1,['TPI']
31,0.84459,1.64246,P,0.321,0.1,iJR904,1,['TPI']
32,0.62501,6.41502,P,0.45,1.4e-16,iJR904,1,['GAPD']
0,0.88557,7e-05,M,1.86,1.0,iAF1260,2,"['PFL', 'PYK']"
1,0.79701,2.33059,M,8.793,0.9,iAF1260,2,"['TKT1', 'TKT2']"
2,0.70846,3.94949,M,7.659,0.8,iAF1260,2,"['TKT1', 'TKT2']"
3,0.69682,4.13915,M,14.311,0.7,iAF1260,2,"['RPE', 'TALA']"
4,0.53134,7.15097,M,8.483,0.6,iAF1260,2,"['RPE', 'TKT2']"
5,0.44279,8.75576,M,5.531,0.5,iAF1260,2,"['RPE', 'TKT2']"
6,0.35423,10.36267,M,6.545,0.4,iAF1260,2,"['GND', 'TKT2']"
7,0.26567,11.95525,M,6.542,0.3,iAF1260,2,"['GND', 'RPE']"
8,0.17711,7.31885,M,10.062,0.2,iAF1260,2,"['RPE', 'RPI']"
9,0.08856,15.13321,M,4.651,0.1,iAF1260,2,"['GND', 'TKT2']"
10,0.0,16.72215,M,1.732,1.4e-16,iAF1260,2,"['ICDHyr', 'PYK']"
11,0.88557,0.00012,C,0.312,1.0,iAF1260,2,"['PFL', 'PYK']"
12,0.81763,0.85092,C,15.063,0.9,iAF1260,2,"['FUM', 'HEX1']"
13,0.81763,0.85092,C,15.41,0.8,iAF1260,2,"['FUM', 'HEX1']"
14,0.6199,5.54617,C,14.096,0.7,iAF1260,2,"['RPE', 'TKT2']"
15,0.53134,7.13658,C,7.12,0.6,iAF1260,2,"['PGL', 'RPI']"
16,0.81763,0.85092,C,21.541,0.5,iAF1260,2,"['AKGDH', 'FUM']"
17,0.35423,10.36266,C,5.276,0.4,iAF1260,2,"['GND', 'TKT2']"
18,0.81763,0.85092,C,23.775,0.3,iAF1260,2,"['FUM', 'GLCabcpp']"
19,0.17711,7.31887,C,22.365,0.2,iAF1260,2,"['RPI', 'TKT2']"
20,0.08856,15.13321,C,3.501,0.1,iAF1260,2,"['RPE', 'RPI']"
21,0.0,16.72215,C,1.579,1.4e-16,iAF1260,2,"['AKGDH', 'ICDHyr']"
22,0.88557,0.00012,P,0.437,1.0,iAF1260,2,"['FRD2', 'HEX1']"
23,0.87159,0.00015,P,1.307,0.9,iAF1260,2,"['PFK', 'PFL']"
24,0.70846,3.99248,P,0.601,0.8,iAF1260,2,"['FRD2', 'HEX1']"
25,0.6199,5.58515,P,0.663,0.7,iAF1260,2,"['FRD2', 'HEX1']"
26,0.53134,7.17783,P,0.758,0.6,iAF1260,2,"['FRD2', 'TKT2']"
27,0.84683,1.15962,P,0.777,0.5,iAF1260,2,"['G6PDH2r', 'TKT1']"
28,0.88557,0.0,P,0.377,0.4,iAF1260,2,"['GLCabcpp', 'PYK']"
29,0.81763,0.85092,P,6.694,0.3,iAF1260,2,"['AKGDH', 'FUM']"
30,0.81763,0.85092,P,8.482,0.2,iAF1260,2,"['AKGDH', 'FUM']"
31,0.81763,0.85092,P,6.734,0.1,iAF1260,2,"['AKGDH', 'FUM']"
32,0.0,16.72215,P,0.884,1.4e-16,iAF1260,2,"['HEX1', 'ICDHyr']"
0,0.2415,0.08005,M,1.607,1.0,iJO1366,2,"['GLCabcpp', 'PYK']"
1,0.24009,0.25041,M,9.661,0.9,iJO1366,2,"['FUM', 'MDH2']"
2,0.24008,0.25087,M,17.046,0.8,iJO1366,2,"['FUM', 'MDH']"
3,0.18311,1.41483,M,18.857,0.7,iJO1366,2,"['PFL', 'TKT2']"
4,0.18311,1.41483,M,22.02,0.6,iJO1366,2,"['PFL', 'TKT2']"
5,0.18311,1.41483,M,17.256,0.5,iJO1366,2,"['PFL', 'TKT2']"
6,0.11729,2.31314,M,16.237,0.4,iJO1366,2,"['PFL', 'RPI']"
7,0.11729,2.31308,M,10.693,0.3,iJO1366,2,"['PFL', 'RPI']"
8,0.0531,8.97928,M,12.57,0.2,iJO1366,2,"['GLCptspp', 'PYK']"
9,0.0531,8.97928,M,13.231,0.1,iJO1366,2,"['GLCptspp', 'PYK']"
10,-0.0,15.76889,M,2.039,1.4e-16,iJO1366,2,"['RPE', 'RPI']"
11,0.2415,0.08008,C,0.464,1.0,iJO1366,2,"['AKGDH', 'PYK']"
12,0.24009,0.25037,C,5.896,0.9,iJO1366,2,"['FUM', 'SUCOAS']"
13,0.24009,0.25037,C,12.213,0.8,iJO1366,2,"['FUM', 'MDH3']"
14,0.18311,1.41479,C,13.728,0.7,iJO1366,2,"['PFL', 'TKT2']"
15,0.18311,1.41479,C,12.851,0.6,iJO1366,2,"['PFL', 'TKT2']"
16,0.18311,1.41479,C,12.959,0.5,iJO1366,2,"['PFL', 'TKT2']"
17,0.11729,2.31308,C,18.217,0.4,iJO1366,2,"['PFL', 'RPI']"
18,0.11729,2.31308,C,14.821,0.3,iJO1366,2,"['PFL', 'RPI']"
19,0.0531,8.97926,C,16.391,0.2,iJO1366,2,"['GLCptspp', 'PYK']"
20,0.0531,8.97926,C,18.523,0.1,iJO1366,2,"['GLCptspp', 'PYK']"
21,-0.0,15.76889,C,1.424,1.4e-16,iJO1366,2,"['ICDHyr', 'MDH3']"
22,0.2415,0.08015,P,0.481,1.0,iJO1366,2,"['HEX1', 'PGL']"
23,0.24009,0.25037,P,1.676,0.9,iJO1366,2,"['FUM', 'PYK']"
24,0.24009,0.25037,P,2.032,0.8,iJO1366,2,"['FUM', 'HEX1']"
25,0.24009,0.25037,P,3.118,0.7,iJO1366,2,"['FUM', 'MDH3']"
26,0.24009,0.25037,P,3.722,0.6,iJO1366,2,"['FUM', 'G6PDH2r']"
27,0.24009,0.25037,P,4.884,0.5,iJO1366,2,"['FUM', 'MDH2']"
28,0.24009,0.25037,P,4.111,0.4,iJO1366,2,"['FRD2', 'FUM']"
29,0.24009,0.25037,P,4.236,0.3,iJO1366,2,"['FUM', 'MDH3']"
30,0.24009,0.25037,P,4.652,0.2,iJO1366,2,"['FUM', 'MDH2']"
31,0.24009,0.25037,P,4.717,0.1,iJO1366,2,"['FUM', 'PFK']"
32,0.24009,0.25037,P,10.921,1.4e-16,iJO1366,2,"['FRD2', 'FUM']"
0,0.92195,1e-05,M,0.848,1.0,iJR904,2,"['ACALD', 'PYK']"
1,0.83255,1.90414,M,2.967,0.9,iJR904,2,"['PGI', 'TKT1']"
2,0.73756,6.9555,M,2.307,0.8,iJR904,2,"['GND', 'RPE']"
3,0.66986,5.3787,M,3.632,0.7,iJR904,2,"['HEX1', 'PGM']"
4,0.5598,7.83264,M,3.666,0.6,iJR904,2,"['GAPD', 'HEX1']"
5,0.53219,8.38574,M,2.977,0.5,iJR904,2,"['PGK', 'PGL']"
6,0.53218,8.38881,M,2.745,0.4,iJR904,2,"['G6PDH2r', 'PGK']"
7,0.53218,8.38994,M,3.253,0.3,iJR904,2,"['G6PDH2r', 'GAPD']"
8,0.18439,22.87759,M,0.715,0.2,iJR904,2,"['ICDHyr', 'PFL']"
9,0.09219,25.18523,M,1.115,0.1,iJR904,2,"['CS', 'PGL']"
10,0.0,27.49286,M,1.226,1.4e-16,iJR904,2,"['CS', 'PFL']"
11,0.92195,1e-05,C,0.155,1.0,iJR904,2,"['ACALD', 'FRD2']"
12,0.82975,3.38797,C,2.568,0.9,iJR904,2,"['RPE', 'TKT1']"
13,0.74006,3.84645,C,6.405,0.8,iJR904,2,"['G6PDH2r', 'TPI']"
14,0.66986,5.37864,C,5.797,0.7,iJR904,2,"['ENO', 'HEX1']"
15,0.55317,12.17709,C,3.983,0.6,iJR904,2,"['FUM', 'ICDHyr']"
16,0.46097,13.41737,C,5.246,0.5,iJR904,2,"['CS', 'TALA']"
17,0.36878,14.7339,C,6.459,0.4,iJR904,2,"['CS', 'TALA']"
18,0.27658,20.50494,C,0.823,0.3,iJR904,2,"['FRD2', 'ICDHyr']"
19,0.18439,22.87756,C,0.709,0.2,iJR904,2,"['ICDHyr', 'LDH_D']"
20,0.09219,25.18529,C,0.702,0.1,iJR904,2,"['ICDHyr', 'MDH2']"
21,-0.0,27.49287,C,0.236,1.4e-16,iJR904,2,"['CS', 'MDH']"
22,0.92195,0.0,P,0.135,1.0,iJR904,2,"['ACALD', 'FRD2']"
23,0.83255,1.90413,P,1.151,0.9,iJR904,2,"['PGI', 'TKT1']"
24,0.74006,3.84645,P,1.686,0.8,iJR904,2,"['PGL', 'TPI']"
25,0.66986,5.37864,P,2.144,0.7,iJR904,2,"['HEX1', 'PGM']"
26,0.55317,11.96504,P,1.434,0.6,iJR904,2,"['ACKr', 'ICDHyr']"
27,0.53219,8.38375,P,2.292,0.5,iJR904,2,"['PGK', 'PGL']"
28,0.53219,8.38375,P,2.104,0.4,iJR904,2,"['GAPD', 'PGL']"
29,0.53219,8.38375,P,2.16,0.3,iJR904,2,"['G6PDH2r', 'PGK']"
30,0.53219,8.38375,P,2.126,0.2,iJR904,2,"['PGK', 'PGL']"
31,0.53219,8.38375,P,2.387,0.1,iJR904,2,"['G6PDH2r', 'PGK']"
32,0.53219,8.38375,P,3.715,1.4e-16,iJR904,2,"['GAPD', 'PGL']"
0,0.88557,6e-05,M,2.326,1.0,iAF1260,3,"['GLCabcpp', 'PFL', 'PYK']"
1,0.79701,2.33059,M,10.867,0.9,iAF1260,3,"['ALCD2x', 'TKT1', 'TKT2']"
2,0.70846,3.94948,M,11.082,0.8,iAF1260,3,"['ACKr', 'TKT2', 'TALA']"
3,0.6199,5.55427,M,5.85,0.7,iAF1260,3,"['ALCD2x', 'TKT1', 'TKT2']"
4,0.53134,7.1579,M,7.526,0.6,iAF1260,3,"['ACKr', 'GND', 'TKT2']"
5,0.44279,8.7705,M,5.85,0.5,iAF1260,3,"['ACALD', 'RPI', 'PYK']"
6,0.35423,10.36317,M,3.486,0.4,iAF1260,3,"['GND', 'RPE', 'PYK']"
7,0.26567,11.95254,M,5.551,0.3,iAF1260,3,"['ACKr', 'TKT2', 'TALA']"
8,0.17711,13.54423,M,3.511,0.2,iAF1260,3,"['GND', 'PGL', 'RPE']"
9,0.08856,15.13321,M,2.669,0.1,iAF1260,3,"['G6PDH2r', 'GND', 'RPE']"
10,0.0,16.72216,M,1.077,1.4e-16,iAF1260,3,"['ACALD', 'AKGDH', 'ICDHyr']"
11,0.88557,0.00011,C,0.292,1.0,iAF1260,3,"['HEX1', 'PFL', 'PYK']"
12,0.79701,2.28987,C,27.103,0.9,iAF1260,3,"['GND', 'PFL', 'TKT2']"
13,0.70846,3.94949,C,6.92,0.8,iAF1260,3,"['HEX1', 'RPI', 'TKT2']"
14,0.6199,5.38435,C,74.872,0.7,iAF1260,3,"['GND', 'PFK', 'RPE']"
15,0.53134,7.15097,C,20.093,0.6,iAF1260,3,"['MDH3', 'RPE', 'TKT1']"
16,0.44279,8.75576,C,23.801,0.5,iAF1260,3,"['FRD2', 'RPE', 'TKT1']"
17,0.35423,10.36054,C,14.066,0.4,iAF1260,3,"['FRD2', 'RPE', 'TKT1']"
18,0.26567,11.95526,C,6.536,0.3,iAF1260,3,"['GLCabcpp', 'RPI', 'TKT2']"
19,0.17711,13.50585,C,36.717,0.2,iAF1260,3,"['RPE', 'TKT1', 'SUCOAS']"
20,0.08856,15.13274,C,2.681,0.1,iAF1260,3,"['GLCabcpp', 'GND', 'RPE']"
21,0.0,16.72215,C,2.01,1.4e-16,iAF1260,3,"['G6PDH2r', 'HEX1', 'ICDHyr']"
22,0.88557,0.00011,P,0.41,1.0,iAF1260,3,"['FRD2', 'GLCabcpp', 'HEX1']"
23,0.81763,0.85092,P,74.589,0.9,iAF1260,3,"['AKGDH', 'FUM', 'HEX1']"
24,0.70846,3.99248,P,0.681,0.8,iAF1260,3,"['FRD2', 'HEX1', 'TKT2']"
25,0.6199,5.58515,P,0.844,0.7,iAF1260,3,"['FRD2', 'HEX1', 'MDH']"
26,0.53134,7.17783,P,0.711,0.6,iAF1260,3,"['FRD2', 'HEX1', 'TKT2']"
27,0.44279,8.7705,P,0.678,0.5,iAF1260,3,"['FRD2', 'HEX1', 'TKT1']"
28,0.35423,10.36317,P,0.613,0.4,iAF1260,3,"['GLCabcpp', 'GND', 'HEX1']"
29,0.26567,11.95526,P,0.888,0.3,iAF1260,3,"['GLCabcpp', 'HEX1', 'RPE']"
30,0.17711,13.54302,P,0.91,0.2,iAF1260,3,"['HEX1', 'PGL', 'RPE']"
31,0.08856,15.13335,P,0.358,0.1,iAF1260,3,"['ACKr', 'G6PDH2r', 'GLCabcpp']"
32,0.0,16.72215,P,1.032,1.4e-16,iAF1260,3,"['ACKr', 'G6PDH2r', 'ICDHyr']"
0,0.2415,0.08007,M,1.204,1.0,iJO1366,3,"['AKGDH', 'G6PDH2r', 'MDH2']"
1,0.23816,0.25083,M,10.9,0.9,iJO1366,3,"['FUM', 'TKT2', 'TALA']"
2,0.24005,0.25298,M,29.746,0.8,iJO1366,3,"['FUM', 'FBA', 'PGL']"
3,0.18311,1.41479,M,19.064,0.7,iJO1366,3,"['FRD2', 'PFL', 'TKT2']"
4,0.18311,1.41487,M,68.756,0.6,iJO1366,3,"['PFK', 'PFL', 'TKT2']"
5,0.18306,1.42275,M,21.416,0.5,iJO1366,3,"['PFL', 'PTAr', 'TKT2']"
6,0.11256,9.10917,M,15.16,0.4,iJO1366,3,"['ALCD2x', 'LDH_D', 'PFL']"
7,0.11256,9.10914,M,51.949,0.3,iJO1366,3,"['ALCD2x', 'LDH_D', 'PFL']"
8,0.05128,9.60881,M,22.426,0.2,iJO1366,3,"['ACALD', 'GLCptspp', 'PYK']"
9,0.05128,9.60933,M,22.704,0.1,iJO1366,3,"['ACALD', 'GLCptspp', 'PYK']"
10,-0.0,15.76889,M,2.988,1.4e-16,iJO1366,3,"['GND', 'RPE', 'RPI']"
11,0.2415,0.08007,C,0.524,1.0,iJO1366,3,"['AKGDH', 'FRD2', 'PYK']"
12,0.24009,0.25037,C,35.093,0.9,iJO1366,3,"['FUM', 'PGL', 'PYK']"
13,0.24009,0.25037,C,57.078,0.8,iJO1366,3,"['FUM', 'FBA', 'MDH3']"
14,0.18311,1.41479,C,93.484,0.7,iJO1366,3,"['LDH_D', 'PFL', 'TKT2']"
15,0.18311,1.41479,C,96.327,0.6,iJO1366,3,"['MDH3', 'PFL', 'TKT2']"
16,0.18311,1.41479,C,99.749,0.5,iJO1366,3,"['ACALD', 'PFL', 'TKT2']"
17,0.11256,9.10913,C,48.907,0.4,iJO1366,3,"['ALCD2x', 'LDH_D', 'PFL']"
18,0.11256,9.10913,C,79.082,0.3,iJO1366,3,"['ACALD', 'LDH_D', 'PFL']"
19,0.05128,9.6088,C,98.326,0.2,iJO1366,3,"['ACALD', 'GLCptspp', 'PYK']"
20,0.05128,9.6088,C,113.759,0.1,iJO1366,3,"['ALCD2x', 'GLCptspp', 'PYK']"
21,-0.0,15.76889,C,0.859,1.4e-16,iJO1366,3,"['MDH3', 'RPI', 'TKT2']"
22,0.2415,0.08005,P,0.493,1.0,iJO1366,3,"['AKGDH', 'FRD2', 'PYK']"
23,0.24009,0.25037,P,4.883,0.9,iJO1366,3,"['FUM', 'PFK', 'SUCOAS']"
24,0.24009,0.25037,P,13.027,0.8,iJO1366,3,"['AKGDH', 'FUM', 'SUCOAS']"
25,0.24009,0.25037,P,22.317,0.7,iJO1366,3,"['FUM', 'HEX1', 'PYK']"
26,0.24009,0.25037,P,32.34,0.6,iJO1366,3,"['FUM', 'GLCabcpp', 'MDH2']"
27,0.24009,0.25037,P,43.735,0.5,iJO1366,3,"['FUM', 'MDH2', 'SUCOAS']"
28,0.11256,9.10913,P,16.552,0.4,iJO1366,3,"['ALCD2x', 'LDH_D', 'PFL']"
29,0.11256,4.23358,P,35.639,0.3,iJO1366,3,"['ACALD', 'LDH_D', 'PFL']"
30,0.05128,9.6088,P,19.381,0.2,iJO1366,3,"['ALCD2x', 'GLCptspp', 'PYK']"
31,0.05128,9.6088,P,21.379,0.1,iJO1366,3,"['ALCD2x', 'GLCptspp', 'PYK']"
32,0.24009,0.25037,P,115.215,1.4e-16,iJO1366,3,"['FUM', 'PFK', 'SUCOAS']"
0,0.92195,1e-05,M,0.926,1.0,iJR904,3,"['FRD2', 'HEX1', 'MDH2']"
1,0.82975,3.34885,M,4.524,0.9,iJR904,3,"['FRD2', 'GND', 'TALA']"
2,0.73756,7.28448,M,0.86,0.8,iJR904,3,"['ACALD', 'AKGDH', 'CS']"
3,0.64536,10.43531,M,1.364,0.7,iJR904,3,"['G6PDH2r', 'GND', 'RPE']"
4,0.55317,11.99414,M,2.704,0.6,iJR904,3,"['GND', 'PFK', 'RPE']"
5,0.46097,13.32845,M,4.371,0.5,iJR904,3,"['ENO', 'RPE', 'TKT2']"
6,0.36878,14.66276,M,3.968,0.4,iJR904,3,"['PGI', 'RPE', 'TPI']"
7,0.27658,16.0574,M,5.878,0.3,iJR904,3,"['PGI', 'TKT1', 'TPI']"
8,0.18439,17.33138,M,5.786,0.2,iJR904,3,"['GND', 'PGK', 'RPE']"
9,0.09219,25.1853,M,0.806,0.1,iJR904,3,"['CS', 'GND', 'PFK']"
10,0.0,27.49286,M,1.502,1.4e-16,iJR904,3,"['CS', 'G6PDH2r', 'PFL']"
11,0.92195,0.00022,C,0.154,1.0,iJR904,3,"['ACALD', 'PYK', 'TKT2']"
12,0.82975,3.38798,C,6.613,0.9,iJR904,3,"['HEX1', 'RPE', 'TKT2']"
13,0.73756,7.0591,C,7.361,0.8,iJR904,3,"['LDH_D', 'RPE', 'TKT1']"
14,0.64536,10.43541,C,0.872,0.7,iJR904,3,"['AKGDH', 'ICDHyr', 'MDH2']"
15,0.55317,12.10085,C,14.695,0.6,iJR904,3,"['CS', 'PGI', 'TALA']"
16,0.46097,13.42899,C,29.624,0.5,iJR904,3,"['PGI', 'TKT1', 'TPI']"
17,0.36878,14.74319,C,42.809,0.4,iJR904,3,"['PGI', 'TKT1', 'TPI']"
18,0.27658,16.0574,C,46.005,0.3,iJR904,3,"['PGI', 'TKT1', 'TPI']"
19,0.18439,17.3716,C,44.559,0.2,iJR904,3,"['PGI', 'TKT1', 'TPI']"
20,0.09219,25.18529,C,1.401,0.1,iJR904,3,"['AKGDH', 'ICDHyr', 'PGL']"
21,0.0,27.49286,C,0.401,1.4e-16,iJR904,3,"['CS', 'FRD2', 'MDH']"
22,0.92195,0.0,P,0.141,1.0,iJR904,3,"['ACALD', 'PYK', 'TKT2']"
23,0.83255,1.90413,P,8.317,0.9,iJR904,3,"['ACALD', 'PGI', 'TKT1']"
24,0.73758,3.90048,P,15.891,0.8,iJR904,3,"['PGL', 'TALA', 'TPI']"
25,0.64675,5.88324,P,27.436,0.7,iJR904,3,"['HEX1', 'PGM', 'TKT2']"
26,0.55737,7.88535,P,35.233,0.6,iJR904,3,"['HEX1', 'FBA', 'PGK']"
27,0.49652,9.20786,P,36.295,0.5,iJR904,3,"['G6PDH2r', 'MDH', 'PGK']"
28,0.49652,9.20786,P,39.607,0.4,iJR904,3,"['MDH', 'PGK', 'PGL']"
29,0.27658,20.50494,P,0.797,0.3,iJR904,3,"['ICDHyr', 'MDH2', 'PGL']"
30,0.49652,9.20786,P,39.168,0.2,iJR904,3,"['G6PDH2r', 'MDH', 'PGK']"
31,0.09219,18.68351,P,16.347,0.1,iJR904,3,"['ICDHyr', 'PGI', 'TALA']"
32,0.61916,6.48526,P,0.487,1.4e-16,iJR904,3,"['PGL', 'PGM', 'TALA']"
